نام کالا,دسته,نرخ فروش,نرخ خرید
خردکن مایر 945 شیشه ای 9تیغه,خردکن و غذاساز,45000000,40000000
خردکن نوتری کوک دوکاسه,خردکن و غذاساز,62000000,50000000
خردکن کن وود مدل CHP40,خردکن و غذاساز,29000000,
دونالکس خردکن 3 لیتری DN230 سیلور,خردکن و غذاساز,42000000,32010000
دونالکس غذا ساز 33 کاره استیل DN140,خردکن و غذاساز,140000000,104760000
دونالکس همزن حرفه ای 6 لیتر استیل DN380,خردکن و غذاساز,115000000,99000000
غذا ساز فیلیپس مدل 7778,خردکن و غذاساز,235000000,175000000
غذاساز نینجا مدل bn401هوشمند,خردکن و غذاساز,550000000,500000000
همزن دستی فیلیپس 3705,خردکن و غذاساز,31000000,24500000
همزن عمودی میدیا مدل 8001,خردکن و غذاساز,35000000,
گوشت کوب برقی بوش 2610,خردکن و غذاساز,57000000,45000000
گوشتکوب برقی نینجا ci100,خردکن و غذاساز,315000000,280000000
گوشتکوب تک بوش 810,خردکن و غذاساز,73000000,61000000
گوشتکوب سه کاره میدیا 6001W,خردکن و غذاساز,49000000,
ساید بای ساید 348 LG استیل 34 فوت,ساید بای ساید,2300000000,2060000000
ساید بای ساید هیمالیا تسال - استیل روشن,ساید بای ساید,677000000,
ساید بای ساید هیمالیا تسال - سفید,ساید بای ساید,710000000,
ساید هیمالیا مدل گلکسی هومبار سفید متالیک,ساید بای ساید,1223000000,962950000
آرام پز سه کاره نوتریکوک مدل 4 لیتری,سایر,135000000,160000000
آرام پز چند کاره نوتریکوک 8 لیتری,سایر,220000000,195000000
اسنک ساز بلک مدل 4080,سرخ‌کن و هواپز,76000000,48000000
دونالکس سرخکن 11 لیتر دوقلو DN970,سرخ‌کن و هواپز,135000000,119000000
دونالکس سرخکن 8 لیتر دیجیتال DN950,سرخ‌کن و هواپز,135000000,106000000
ساندویچ ساز بلک اندبکر 4130,سرخ‌کن و هواپز,120000000,100000000
سرخ کن فیلیپس مدل 230,سرخ‌کن و هواپز,90000000,78000000
سرخ کن فیلیپس مدل 9270,سرخ‌کن و هواپز,95000000,
سرخ کن میدیا مدل 55D2,سرخ‌کن و هواپز,85000000,
نکست هوا پز 10 لیتری استیل مدل NAF1210S,سرخ‌کن و هواپز,115000000,99000000
هواپز تفال 9228,سرخ‌کن و هواپز,210000000,189000000
هواپز فیلیپس 350,سرخ‌کن و هواپز,168000000,167000000
هواپز میدیا 30N55,سرخ‌کن و هواپز,85000000,
هواپز نینجا مدل SL300,سرخ‌کن و هواپز,179000000,179000000
هواپز نینجا مدل SL400,سرخ‌کن و هواپز,425000000,380000000
ظرفشویی 512W LG,ظرفشویی,1060000000,980000000
ظرفشویی پاکشوما الکید سری L51 X اینوکس,ظرفشویی,950000000,630000000
ظرفشویی کلور 16 نفره مدلی H16استیل,ظرفشویی,468000000,426100000
مخفی رنگی درب اتوماتیک APLUS ظرفشویی 15 نفره سه سبد مدل 86 استیل پنل,ظرفشویی,1350000000,423333333
استیل روشن R600 فریزر دوقلو هیمالیا یخساز اتومات Age Ice,فریزر,484000000,428150000
اینورتر کلور مدل GLORY فریزر تک استیل خش دار عرض 60 کمپرسور,فریزر,526350000,448910000
اینورتر کلور مدل PLUS GLORY فریزر تک استیل خش دار عرض 60 کمپرسور,فریزر,590000000,
اینورتر کلور مدل PLUS GLORY فریزر تک سفید خش دار عرض 60 کمپرسور,فریزر,561000000,474599999
روشن R600 فریزر 8 کشو هیمالیا یخساز دار آلفا استیل,فریزر,1375000000,750750000
فریزر تک ES24 تیتانیوم الکترواستیل,فریزر,485000000,
فریزر صندوقی 90 تکنوسان سفید280W,فریزر,189000000,
فریزر صندوقی سفید مدل 285 الکتروسان,فریزر,190000000,172000000
فریزر صندوقی سفید مدل 345 الکتروسان,فریزر,231000000,210000000
فریزر صندوقی سفید مدل 443 الکتروسان,فریزر,219000000,206000000
فریزر صندوقی سیلور مدل 285 الکتروسان,فریزر,190000000,176000000
فریزر صندوقی سیلور مدل 345 الکتروسان,فریزر,255000000,210000000
فریزر صندوقی سیلور مدل 443 الکتروسان,فریزر,275000000,234000000
BLDC رنگ اینوکس لباسشویی 8 کیلویی هیمالیا دلتا DEITA موتور,لباسشویی,435000000,
GWM-P880S لباسشویی 8کیلویی جی پالس رنگ سیلور,لباسشویی,800000000,696950000
GWM-P88W لباسشویی 8کیلویی جی پالس رنگ سفید,لباسشویی,340000000,
PTF1504iAj درب ABS لباسشویی پاکشوما دوقلو 155کیلو,لباسشویی,165000000,142054890
R88S.KTL لباس شویی 8 کیلویی جی پالس سیلور -GWM,لباسشویی,766000000,473700000
آلمان لباسشویی بوش 9کیلو مدل 325 سیلور اصل,لباسشویی,668000000,620000000
دایرکت درایو پنل رنگی APLUS لباسشویی 9 کیلویی 1400دور مدل 948تیتان,لباسشویی,470000000,377000000
لباسشویی اتومات سطلی باگ خزر,لباسشویی,50000000,40000000
لباسشویی ال جی 2J3 سفید 7 کیلویی,لباسشویی,800000000,700000000
لباسشویی ال جی 9 کیلویی R5 سفید,لباسشویی,580000000,540000000
لباسشویی ال جی 9 کیلویی R5 سیلور,لباسشویی,560000000,560000000
لباسشویی ال جی y3 دودی,لباسشویی,1520000000,1380000000
لباسشویی بست 712 سفید,لباسشویی,460000000,420000000
لباسشویی هیمالیا دلتا W816 - سفید,لباسشویی,440000000,
لباسشویی پاکشوما 40704WT,لباسشویی,310000000,
لباسشویی پاکشوما 8 کیلو -LW سفید,لباسشویی,425000000,331200000
لباسشویی پاکشوما 9UW سفید,لباسشویی,375000000,347000000
لباسشویی پاکشوما سفید i8,لباسشویی,465000000,420000000
کیلویی 8TI1 لمسی DRIVE DIRECT کلور لباسشویی 8,لباسشویی,460000000,
ESHMIDO توستر 55 لیتر مشکی مدل ES5500,ماکروویو و پلوپز,125000000,
توستر نان نوتری کوک 401,ماکروویو و پلوپز,118000000,95000000
ماکروویو ال جی مدل 8265 LG,ماکروویو و پلوپز,175000000,157000000
مشکی میوه خشک کن رانکو 270وات RK-660B,ماکروویو و پلوپز,39000000,
پلوپز دونالکس 905,ماکروویو و پلوپز,79000000,66655435
پلوپز پارس خزر 4لیتری,ماکروویو و پلوپز,66000000,59500000
ارشیا پنکه ایستاده 6120 دیجیتالی کد 2871,پنکه,54000000,
سه کاره نکست پالس پنکه ایستاده کنترلی 5 پره سفید ، مجهز به پایه,پنکه,65000000,46000000
سه کاره نکست پالس پنکه ایستاده کنترلی 5 پره مشکی ، مجهز به پایه,پنکه,55000000,
پنکه ارشیا رومیزی,پنکه,32000000,29000000
پنکه پارس خزر رومیزی,پنکه,33000000,31000000
پنکه پایه بلند رنگ مشکی مدل 2020SF برفاب,پنکه,20000000,
DN185 دونالکس چایی ساز روهمی مشکی مدل,چای‌ساز و قهوه‌ساز,150000000,95044280
اسپرسو ساز دلونگی 885,چای‌ساز و قهوه‌ساز,154000000,138000000
اسپرسو ساز ناسا مدل 538 مشکی,چای‌ساز و قهوه‌ساز,96000000,81315276
اسپرسوساز زانتی تمام اتوماتیک آسیاب دار,چای‌ساز و قهوه‌ساز,235000000,185000000
دونالکس چایی ساز روهمی مشکی مدل DN185,چای‌ساز و قهوه‌ساز,68000000,58000000
سماور برفی همیلتون 455,چای‌ساز و قهوه‌ساز,196000000,170000000
چایی ساز زانتی,چای‌ساز و قهوه‌ساز,58000000,70000000
چایی ساز وندورا 2210,چای‌ساز و قهوه‌ساز,52000000,53125000
چایی ساز وندورا 5211,چای‌ساز و قهوه‌ساز,58000000,49000000
12T3ET1203 کولر استینگ هوس -EASTINGHOUSE,کولر گازی,385000000,358800000
18T1ET1803 کولر استینگ هوس -EASTINGHOUSE,کولر گازی,443000000,
30HO1RAAA کولر زانتی 30 هزار -ZMSD,کولر گازی,1170000000,1040000000
اسپلیت A25 تکامسه 25T1R410A,کولر گازی,1600000000,
پالس GAC-HF24TQU1-QN1 کولر اسپلیت دیواری دور ثابت 24000جی,کولر گازی,590000000,465000000
کولر 12 هزار ایوولی,کولر گازی,540000000,465000000
کولر 18 هزار ایوولی (موتور سنگین),کولر گازی,343000000,330000000
کولر 24 هزار ایر جنرال,کولر گازی,470000000,
کولر 24 هزار گراتی موتور سنگین,کولر گازی,1080000000,980000000
کولر 24 گری S4MATIC,کولر گازی,605000000,580000000
کولر 24هزار ایوولی,کولر گازی,1220000000,780000000
کولر ایستاده LG APW48GTAO,کولر گازی,1600000000,
کولر ایوولی 36هزار,کولر گازی,1550000000,1400000000
کولر تراست 30H410A - TMSAB,کولر گازی,798000000,785000000
کولر تراست TMSAB-12H410A,کولر گازی,1000000000,970000000
کولر جنرال گلد 24 هزار مدل اسپارک,کولر گازی,495000000,
کولر زانتی 24 هزار ZMSD-24HO1RAIA,کولر گازی,560000000,560000000
کولر زانتی ZMSA-12HO1RAFA,کولر گازی,343000000,
کولر زانتی ZMSA-18HO1RAFA,کولر گازی,350000000,330000000
کولر سوپرانو SS12CHT,کولر گازی,370000000,345900000
کولر سوپرانو SS24CHT,کولر گازی,666000000,617300000
کولر سوپرانو SS25CHT,کولر گازی,678000000,
کولر سوپرانو SS30CHT,کولر گازی,789000000,731100000
کولر هایسنس 12000,کولر گازی,560000000,475000000
کولر هایسنس 24000,کولر گازی,697000000,680000000
کولر هوگن SHO-30HA,کولر گازی,1200000000,1080000000
کولر گازی 12000 جنرال گلد,کولر گازی,283000000,250000000
کولر گازی 18000 جنرال گلد,کولر گازی,830000000,760000000
کولر گازی 24000 جنرال گلد,کولر گازی,1110000000,1080000000
کولر گری 18هزار,کولر گازی,565000000,540000000
کولر گری 28هزار,کولر گازی,835000000,800000000
کولر گرین 12000 سرد و گرم 410,کولر گازی,1580000000,666187500
HM7سفید یخچال هیمالیا سردخانه سری -AEG مدل,یخچال,276000000,140000000
HM9سفید یخچال هیمالیا سردخانه سری -AEG مدل,یخچال,117000000,
HS7سفید یخچال هیمالیا سردخانه سری -AEG مدل,یخچال,103000000,
استیل روشن R600 یخچال دوقلو هیمالیا آبسرد کن دار Age Ice,یخچال,396000000,366950000
اینورتر کلور مدل GLORY یخچال تک استیل خش دار عرض 60 کمپرسور,یخچال,430650000,416299999
اینورتر کلور مدل PLUS GLORY یخچال تک استیل خش دار عرض 60 کمپرسور,یخچال,480000000,
اینورتر کلور مدل PLUS GLORY یخچال تک سفید خش دار عرض 60 کمپرسور,یخچال,459000000,448800000
روشن R600 یخچال هیمالیا 17 فوت هوم بار دار آلفا استیل,یخچال,1125000000,623850000
روشن یخچال 17 فوت 60MW آیس پول - استیل,یخچال,380000000,
روشن یخچال 17 فوت 60MW رومانو پالس - استیل,یخچال,1080000000,414400000
کلور یخچال تک عرض 70 مدل 101 استیل,یخچال,435000000,
یخچال 18 فوت امرسان سفید دو درب,یخچال,495000000,440000000
یخچال ایستکول 5فوت,یخچال,85000000,77000000
یخچال تک ES24 تیتانیوم الکترواستیل,یخچال,397000000,
یخچال تک الجی سفید,یخچال,508000000,450000000
الکتروسان یخچال فریزر عرض 75 استیل مدل 337,یخچال فریزر / کمبی,384000000,355000000
تیتان یخچال فریزر 30*70 عرض 850 اکونومیک,یخچال فریزر / کمبی,478000000,
سفید ساده کلور یخچال فریزر کمبی عرض 70 مدل 101,یخچال فریزر / کمبی,460000000,425000000
هوم باردار تیتان یخچال فریزر کمبی هیمالیا 60MWپنچ کاره,یخچال فریزر / کمبی,810000000,723200000
هیمالیا R600 یخچال فریزر 30 70 گاما چرمی نیمه مخفی,یخچال فریزر / کمبی,210000000,
کمبی هومبار پنج کاره لئوکو LEOCO تیتان,یخچال فریزر / کمبی,470000000,
کمبی هیمالیا امگا پالس آبسردکن دار - تیتان,یخچال فریزر / کمبی,506000000,469050000
کمبی هیمالیا امگا پالس هوم بار دار - تیتان,یخچال فریزر / کمبی,853000000,562250000
کمبی هیمالیا امگا پالس هوم بار دار - چرمی,یخچال فریزر / کمبی,580000000,537300000
یخچال باال فریزر 13 فوت مدل BH150 برفاب,یخچال فریزر / کمبی,175000000,
یخچال فریزر 14فوت امرسان,یخچال فریزر / کمبی,179000000,162000000
یخچال فریزر 20فوت سفید امرسان,یخچال فریزر / کمبی,442000000,400000000
یخچال فریزر 75 تکنوسان سیلور 830S,یخچال فریزر / کمبی,850000000,97500000
یخچال پایین فریزر ES27 تیتانیوم الکترواستیل,یخچال فریزر / کمبی,350000000,
یخچال پایین فریزر ES35 تیتانیوم الکترواستیل,یخچال فریزر / کمبی,460000000,
