تاریخ,کد کالا,نام کالا,واحد,تعداد,قیمت واحد,بهای واحد,مبلغ کل,مشتری
1404/07/08,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,7,109340,88550,765380,کافه رستوران ونک
1404/07/08,SKU00039,عدس ۹۰۰ گرمی,عدد,9,93940,75460,845460,سوپر مارکت البرز
1404/07/08,SKU00040,نخود ۹۰۰ گرمی,عدد,7,100100,80850,700700,مینی‌مارکت نسیم
1404/07/08,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,35,84700,67760,2964500,فروشگاه سپیدار
1404/07/08,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,27,40040,32340,1081080,هایپر ستاره شهر
1404/07/08,SKU00043,ماست دبه ۲ کیلویی,عدد,7,157850,127050,1104950,سوپرمارکت پارسیان
1404/07/08,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,10,90860,73150,908600,هایپر نیک
1404/07/08,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,4,169400,134750,677600,تعاونی مصرف کارکنان
1404/07/08,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,5,361900,296450,1809500,سوپرمارکت پارسیان
1404/07/08,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,27,65450,52360,1767150,سوپر مارکت البرز
1404/07/08,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,8,206360,165550,1650880,سوپرمارکت پارسیان
1404/07/08,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,14,70840,55440,991760,سوپر مارکت البرز
1404/07/08,SKU00050,صابون بسته ۶ عددی,بسته,5,92400,73920,462000,سوپر مارکت البرز
1404/07/09,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,2,3468462,2928923,6936924,بوفه دانشگاه
1404/07/09,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,6,2042538,1618615,12255228,سوپر مارکت البرز
1404/07/09,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,23,142592,115615,3279616,کافه رستوران ونک
1404/07/09,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,5,350700,292892,1753500,بوفه دانشگاه
1404/07/09,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,18,32372,26977,582696,بقالی برادران احمدی
1404/07/09,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,10,188838,150300,1888380,بوفه دانشگاه
1404/07/09,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,6,400800,323723,2404800,سوپر پروتئین سبز
1404/07/09,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,56,36997,29289,2071832,فروشگاه امید
1404/07/09,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,26,73994,60120,1923844,هایپر نیک
1404/07/09,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,26,40080,32372,1042080,فروشگاه گلستان
1404/07/09,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,20,83243,67828,1664860,سوپرمارکت آفتاب
1404/07/09,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,14,129489,104054,1812846,فروشگاه رفاه محلی
1404/07/09,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,10,109449,88638,1094490,هایپر ستاره شهر
1404/07/09,SKU00039,عدس ۹۰۰ گرمی,عدد,9,94034,75535,846306,هایپر ستاره شهر
1404/07/09,SKU00040,نخود ۹۰۰ گرمی,عدد,5,100200,80931,501000,بقالی برادران احمدی
1404/07/09,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,16,84785,67828,1356560,مینی‌مارکت نسیم
1404/07/09,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,15,40080,32372,601200,بقالی برادران احمدی
1404/07/09,SKU00043,ماست دبه ۲ کیلویی,عدد,10,158008,127177,1580080,فروشگاه سپیدار
1404/07/09,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,10,90951,73223,909510,هایپر نیک
1404/07/09,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,11,169569,134885,1865259,کافه رستوران ونک
1404/07/09,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,6,362262,296746,2173572,بوفه دانشگاه
1404/07/09,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,14,65515,52412,917210,سوپر مارکت البرز
1404/07/09,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,6,206566,165715,1239396,سوپر پروتئین سبز
1404/07/09,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,17,70911,55495,1205487,سوپرمارکت آفتاب
1404/07/09,SKU00050,صابون بسته ۶ عددی,بسته,8,92492,73994,739936,سوپر پروتئین سبز
1404/07/10,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,1,3471923,2931846,3471923,سوپر مارکت البرز
1404/07/10,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,12,2044577,1620231,24534924,تعاونی مصرف کارکنان
1404/07/10,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,19,142735,115731,2711965,فروشگاه امید
1404/07/10,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,5,351050,293185,1755250,بوفه دانشگاه
1404/07/10,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,42,32405,27004,1361010,فروشگاه سپیدار
1404/07/10,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,11,189027,150450,2079297,سوپرمارکت آفتاب
1404/07/10,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,7,401200,324046,2808400,سوپر مارکت البرز
1404/07/10,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,72,37034,29318,2666448,سوپر مارکت البرز
1404/07/10,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,18,74068,60180,1333224,فروشگاه امید
1404/07/10,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,29,40120,32405,1163480,تعاونی مصرف کارکنان
1404/07/10,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,19,83326,67895,1583194,هایپر ستاره شهر
1404/07/10,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,26,129618,104158,3370068,سوپرمارکت پارسیان
1404/07/10,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,6,109558,88727,657348,فروشگاه رفاه محلی
1404/07/10,SKU00039,عدس ۹۰۰ گرمی,عدد,6,94128,75611,564768,فروشگاه گلستان
1404/07/10,SKU00040,نخود ۹۰۰ گرمی,عدد,6,100300,81012,601800,هایپر ستاره شهر
1404/07/10,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,35,84869,67895,2970415,بوفه دانشگاه
1404/07/10,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,51,40120,32405,2046120,سوپرمارکت آفتاب
1404/07/10,SKU00043,ماست دبه ۲ کیلویی,عدد,20,158165,127304,3163300,سوپرمارکت پارسیان
1404/07/10,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,6,91042,73296,546252,سوپر مارکت البرز
1404/07/10,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,7,169738,135019,1188166,فروشگاه زنجیره‌ای مهر
1404/07/10,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,4,362623,297042,1450492,فروشگاه امید
1404/07/10,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,15,65581,52465,983715,هایپر ستاره شهر
1404/07/10,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,4,206772,165881,827088,فروشگاه زنجیره‌ای مهر
1404/07/10,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,18,70982,55551,1277676,کافه رستوران ونک
1404/07/10,SKU00050,صابون بسته ۶ عددی,بسته,10,92585,74068,925850,سوپرمارکت آفتاب
1404/07/11,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,2,3475385,2934769,6950770,بقالی برادران احمدی
1404/07/11,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,2,2046615,1621846,4093230,فروشگاه سپیدار
1404/07/11,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,13,142877,115846,1857401,سوپرمارکت آفتاب
1404/07/11,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,2,351400,293477,702800,فروشگاه رفاه محلی
1404/07/11,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,21,32437,27031,681177,فروشگاه زنجیره‌ای مهر
1404/07/11,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,5,189215,150600,946075,فروشگاه امید
1404/07/11,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,3,401600,324369,1204800,بقالی برادران احمدی
1404/07/11,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,23,37071,29348,852633,سوپرمارکت پارسیان
1404/07/11,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,10,74142,60240,741420,فروشگاه گلستان
1404/07/11,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,17,40160,32437,682720,مینی‌مارکت شبانه
1404/07/11,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,5,83409,67963,417045,فروشگاه سپیدار
1404/07/11,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,8,129748,104262,1037984,تعاونی مصرف کارکنان
1404/07/11,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,3,109668,88815,329004,بوفه دانشگاه
1404/07/11,SKU00039,عدس ۹۰۰ گرمی,عدد,4,94222,75686,376888,سوپر پروتئین سبز
1404/07/11,SKU00040,نخود ۹۰۰ گرمی,عدد,5,100400,81092,502000,سوپرمارکت آفتاب
1404/07/11,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,10,84954,67963,849540,سوپرمارکت آفتاب
1404/07/11,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,16,40160,32437,642560,مینی‌مارکت شبانه
1404/07/11,SKU00043,ماست دبه ۲ کیلویی,عدد,7,158323,127431,1108261,کافه رستوران ونک
1404/07/11,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,4,91132,73369,364528,فروشگاه امید
1404/07/11,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,8,169908,135154,1359264,فروشگاه یاس
1404/07/11,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,3,362985,297338,1088955,فروشگاه رفاه محلی
1404/07/11,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,7,65646,52517,459522,هایپر ستاره شهر
1404/07/11,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,3,206978,166046,620934,بوفه دانشگاه
1404/07/11,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,3,71052,55606,213156,هایپر نیک
1404/07/11,SKU00050,صابون بسته ۶ عددی,بسته,6,92677,74142,556062,فروشگاه رفاه محلی
1404/07/12,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,4,3478846,2937692,13915384,سوپر مارکت البرز
1404/07/12,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,4,2048654,1623462,8194616,سوپرمارکت آفتاب
1404/07/12,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,8,143019,115962,1144152,سوپرمارکت پارسیان
1404/07/12,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,7,351750,293769,2462250,تعاونی مصرف کارکنان
1404/07/12,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,45,32469,27058,1461105,هایپر ستاره شهر
1404/07/12,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,11,189404,150750,2083444,فروشگاه سپیدار
1404/07/12,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,4,402000,324692,1608000,سوپرمارکت آفتاب
1404/07/12,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,36,37108,29377,1335888,فروشگاه سپیدار
1404/07/12,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,20,74215,60300,1484300,سوپر پروتئین سبز
1404/07/12,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,25,40200,32469,1005000,فروشگاه رفاه محلی
1404/07/12,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,21,83492,68031,1753332,فروشگاه زنجیره‌ای مهر
1404/07/12,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,25,129877,104365,3246925,فروشگاه سپیدار
1404/07/12,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,5,109777,88904,548885,فروشگاه رفاه محلی
1404/07/12,SKU00039,عدس ۹۰۰ گرمی,عدد,3,94315,75762,282945,فروشگاه سپیدار
1404/07/12,SKU00040,نخود ۹۰۰ گرمی,عدد,7,100500,81173,703500,سوپر مارکت البرز
1404/07/12,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,7,85038,68031,595266,فروشگاه سپیدار
1404/07/12,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,27,40200,32469,1085400,مینی‌مارکت شبانه
1404/07/12,SKU00043,ماست دبه ۲ کیلویی,عدد,6,158481,127558,950886,فروشگاه گلستان
1404/07/12,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,11,91223,73442,1003453,هایپر ستاره شهر
1404/07/12,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,13,170077,135288,2211001,بقالی برادران احمدی
1404/07/12,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,7,363346,297635,2543422,سوپر پروتئین سبز
1404/07/12,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,19,65712,52569,1248528,فروشگاه زنجیره‌ای مهر
1404/07/12,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,4,207185,166212,828740,هایپر ستاره شهر
1404/07/12,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,11,71123,55662,782353,مینی‌مارکت نسیم
1404/07/12,SKU00050,صابون بسته ۶ عددی,بسته,10,92769,74215,927690,فروشگاه سپیدار
1404/07/13,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,3,3482308,2940615,10446924,سوپر پروتئین سبز
1404/07/13,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,5,2050692,1625077,10253460,سوپر مارکت البرز
1404/07/13,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,16,143162,116077,2290592,مینی‌مارکت شبانه
1404/07/13,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,4,352100,294062,1408400,بوفه دانشگاه
1404/07/13,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,29,32502,27085,942558,مینی‌مارکت نسیم
1404/07/13,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,12,189592,150900,2275104,فروشگاه گلستان
1404/07/13,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,4,402400,325015,1609600,مینی‌مارکت نسیم
1404/07/13,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,29,37145,29406,1077205,تعاونی مصرف کارکنان
1404/07/13,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,14,74289,60360,1040046,سوپرمارکت آفتاب
1404/07/13,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,31,40240,32502,1247440,کافه رستوران ونک
1404/07/13,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,17,83575,68098,1420775,کافه رستوران ونک
1404/07/13,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,21,130006,104469,2730126,سوپر مارکت البرز
1404/07/13,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,4,109886,88992,439544,فروشگاه رفاه محلی
1404/07/13,SKU00039,عدس ۹۰۰ گرمی,عدد,9,94409,75837,849681,بقالی برادران احمدی
1404/07/13,SKU00040,نخود ۹۰۰ گرمی,عدد,1,100600,81254,100600,کافه رستوران ونک
1404/07/13,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,35,85123,68098,2979305,فروشگاه زنجیره‌ای مهر
1404/07/13,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,19,40240,32502,764560,فروشگاه سپیدار
1404/07/13,SKU00043,ماست دبه ۲ کیلویی,عدد,17,158638,127685,2696846,فروشگاه یاس
1404/07/13,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,14,91314,73515,1278396,مینی‌مارکت شبانه
1404/07/13,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,9,170246,135423,1532214,فروشگاه سپیدار
1404/07/13,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,7,363708,297931,2545956,کافه رستوران ونک
1404/07/13,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,22,65777,52622,1447094,سوپرمارکت آفتاب
1404/07/13,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,6,207391,166377,1244346,کافه رستوران ونک
1404/07/13,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,12,71194,55717,854328,هایپر نیک
1404/07/13,SKU00050,صابون بسته ۶ عددی,بسته,14,92862,74289,1300068,فروشگاه سپیدار
1404/07/14,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,2,3485769,2943538,6971538,سوپر مارکت البرز
1404/07/14,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,5,2052731,1626692,10263655,فروشگاه سپیدار
1404/07/14,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,27,143304,116192,3869208,سوپر پروتئین سبز
1404/07/14,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,3,352450,294354,1057350,تعاونی مصرف کارکنان
1404/07/14,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,21,32534,27112,683214,هایپر نیک
1404/07/14,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,9,189781,151050,1708029,تعاونی مصرف کارکنان
1404/07/14,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,4,402800,325338,1611200,هایپر نیک
1404/07/14,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,40,37182,29435,1487280,فروشگاه زنجیره‌ای مهر
1404/07/14,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,5,74363,60420,371815,تعاونی مصرف کارکنان
1404/07/14,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,24,40280,32534,966720,بوفه دانشگاه
1404/07/14,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,8,83658,68166,669264,فروشگاه گلستان
1404/07/14,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,23,130135,104573,2993105,فروشگاه یاس
1404/07/14,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,6,109995,89081,659970,سوپرمارکت آفتاب
1404/07/14,SKU00039,عدس ۹۰۰ گرمی,عدد,8,94503,75912,756024,فروشگاه زنجیره‌ای مهر
1404/07/14,SKU00040,نخود ۹۰۰ گرمی,عدد,6,100700,81335,604200,فروشگاه گلستان
1404/07/14,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,21,85208,68166,1789368,فروشگاه گلستان
1404/07/14,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,37,40280,32534,1490360,بوفه دانشگاه
1404/07/14,SKU00043,ماست دبه ۲ کیلویی,عدد,10,158796,127812,1587960,تعاونی مصرف کارکنان
1404/07/14,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,9,91405,73588,822645,مینی‌مارکت شبانه
1404/07/14,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,11,170415,135558,1874565,سوپرمارکت پارسیان
1404/07/14,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,4,364069,298227,1456276,فروشگاه یاس
1404/07/14,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,13,65842,52674,855946,مینی‌مارکت شبانه
1404/07/14,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,6,207597,166542,1245582,سوپر پروتئین سبز
1404/07/14,SKU00049,خمیر دندان ۱۰۰ گرمی,عدد,7,71265,55772,498855,سوپرمارکت پارسیان
1404/07/14,SKU00050,صابون بسته ۶ عددی,بسته,13,92954,74363,1208402,فروشگاه رفاه محلی
1404/07/15,SKU00001,برنج ایرانی هاشمی ۱۰ کیلویی,کارتن,3,3489231,2946462,10467693,فروشگاه گلستان
1404/07/15,SKU00027,برنج پاکستانی باسماتی ۱۰ کیلویی,کارتن,6,2054769,1628308,12328614,فروشگاه امید
1404/07/15,SKU00028,روغن آفتابگردان ۱.۸ لیتری,عدد,19,143446,116308,2725474,سوپر پروتئین سبز
1404/07/15,SKU00029,روغن سرخ‌کردنی ۴.۵ لیتری,عدد,5,352800,294646,1764000,سوپرمارکت آفتاب
1404/07/15,SKU00030,شکر سفید ۹۰۰ گرمی,عدد,37,32566,27138,1204942,فروشگاه رفاه محلی
1404/07/15,SKU00031,چای کیسه‌ای ۱۰۰ عددی,عدد,12,189969,151200,2279628,فروشگاه رفاه محلی
1404/07/15,SKU00032,قهوه فوری ۲۰۰ گرمی,عدد,6,403200,325662,2419200,سوپرمارکت پارسیان
1404/07/15,SKU00033,نوشابه خانواده ۱.۵ لیتری,عدد,38,37218,29465,1414284,مینی‌مارکت شبانه
1404/07/15,SKU00034,آب معدنی ۱.۵ لیتری بسته ۶ عددی,بسته,21,74437,60480,1563177,فروشگاه سپیدار
1404/07/15,SKU00035,ماکارونی ۷۰۰ گرمی,عدد,36,40320,32566,1451520,سوپرمارکت آفتاب
1404/07/15,SKU00036,رب گوجه ۸۰۰ گرمی,عدد,20,83742,68234,1674840,مینی‌مارکت نسیم
1404/07/15,SKU00037,تن ماهی ۱۸۰ گرمی,عدد,6,130265,104677,781590,مینی‌مارکت شبانه
1404/07/15,SKU00038,لوبیا چیتی ۹۰۰ گرمی,عدد,9,110105,89169,990945,مینی‌مارکت شبانه
1404/07/15,SKU00039,عدس ۹۰۰ گرمی,عدد,8,94597,75988,756776,سوپرمارکت آفتاب
1404/07/15,SKU00040,نخود ۹۰۰ گرمی,عدد,5,100800,81415,504000,فروشگاه گلستان
1404/07/15,SKU00041,پنیر سفید ۴۰۰ گرمی,عدد,15,85292,68234,1279380,کافه رستوران ونک
1404/07/15,SKU00042,شیر کم‌چرب ۱ لیتری,عدد,40,40320,32566,1612800,سوپرمارکت آفتاب
1404/07/15,SKU00043,ماست دبه ۲ کیلویی,عدد,8,158954,127938,1271632,مینی‌مارکت شبانه
1404/07/15,SKU00044,کره حیوانی ۱۰۰ گرمی,عدد,10,91495,73662,914950,فروشگاه رفاه محلی
1404/07/15,SKU00045,مایع ظرفشویی ۳.۷۵ لیتری,عدد,9,170585,135692,1535265,هایپر نیک
1404/07/15,SKU00046,پودر لباسشویی ۵ کیلویی,عدد,6,364431,298523,2186586,فروشگاه امید
1404/07/15,SKU00047,دستمال کاغذی ۳۰۰ برگ,بسته,22,65908,52726,1449976,کافه رستوران ونک
1404/07/15,SKU00048,شامپو ۹۰۰ میلی‌لیتری,عدد,8,207803,166708,1662424,فروشگاه یاس
